method,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees,df
ens_median_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M07_weight_coverage+ordinal_prior,0.2774,91.67,1.11,88.89,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M07_weight_coverage+ordinal_prior,0.2774,91.67,1.11,88.89,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M07_weight_coverage+M28_baseline_match_strict,0.2752,91.67,1.1,88.91,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M07_weight_coverage+M28_baseline_match_strict,0.2752,91.67,1.1,88.91,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M05_blend_vis_divide+ordinal_prior,0.2752,92.11,1.1,89.35,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M05_blend_vis_divide+ordinal_prior,0.2752,92.11,1.1,89.35,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M05_blend_vis_divide+M28_baseline_match_strict,0.273,92.11,1.09,89.38,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+M05_blend_vis_divide+M28_baseline_match_strict,0.273,92.11,1.09,89.38,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+ordinal_prior+M28_baseline_match_strict,0.2763,91.67,1.11,88.9,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M24_weight_class_aware+ordinal_prior+M28_baseline_match_strict,0.2807,91.23,1.12,88.42,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       1       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+M05_blend_vis_divide+ordinal_prior,0.2697,92.54,1.08,89.85,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+M05_blend_vis_divide+ordinal_prior,0.2697,92.54,1.08,89.85,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+M05_blend_vis_divide+M28_baseline_match_strict,0.2686,92.11,1.07,89.42,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+M05_blend_vis_divide+M28_baseline_match_strict,0.2686,92.11,1.07,89.42,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+ordinal_prior+M28_baseline_match_strict,0.2686,92.54,1.07,89.86,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M07_weight_coverage+ordinal_prior+M28_baseline_match_strict,0.2719,91.67,1.09,88.95,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M15_divide_global+M05_blend_vis_divide+ordinal_prior+M28_baseline_match_strict,0.2675,92.54,1.07,89.87,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M15_divide_global+M05_blend_vis_divide+ordinal_prior+M28_baseline_match_strict,0.2708,91.67,1.08,88.96,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+M05_blend_vis_divide,0.2708,92.54,1.08,89.84,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+M05_blend_vis_divide,0.2708,92.54,1.08,89.84,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+ordinal_prior,0.2719,92.54,1.09,89.82,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+ordinal_prior,0.2719,92.54,1.09,89.82,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+M28_baseline_match_strict,0.2708,92.11,1.08,89.4,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M07_weight_coverage+M28_baseline_match_strict,0.2708,92.11,1.08,89.4,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M05_blend_vis_divide+ordinal_prior,0.2708,92.98,1.08,90.27,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_trimmed_mean_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M05_blend_vis_divide+ordinal_prior,0.2708,92.98,1.08,90.27,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
ens_median_M19_divide_adaptive+M08_divide_density_vis+M24_weight_class_aware+M05_blend_vis_divide+M28_baseline_match_strict,0.2697,92.54,1.08,89.85,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       0       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       1
2    DAMIMAS_A21B_0577  train      3      0  ...       0       0       1       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       1
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       1       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       0       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       0       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       2       0
226  DAMIMAS_A21B_0575   test      3      3  ...       0       0       0       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       1       0       1

[228 rows x 19 columns]"
